input,output
Reply button to respond to tweets,"DESCRIPTION:
The UI should be a small button with a reply icon and the text ""Reply"". The button should be blue and round, with a subtle hover effect. The text should be white and centered vertically within the button.
COMPONENTS:
- ReplyButton: (standalone)
HTML:
<button><ReplyButton/></button>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded-full""><i class=""fas fa-reply mr-2""></i>Reply</button>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
Reply button to respond to tweets,"DESCRIPTION:
The UI should be a small button with a reply icon and the text ""Reply"". The button should be blue and round, with a subtle hover effect. The text should be white and centered vertically within the button.
COMPONENTS:
- ReplyButton: (standalone)
HTML:
<button><ReplyButton/></button>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded-full""><i class=""fas fa-reply mr-2""></i>Reply</button>"
Reply button to respond to tweets,"DESCRIPTION:
A small reply button that appears when hovering over a tweet, with a white reply icon on a blue background.
COMPONENTS:
- ReplyButton: - Standalone
HTML:
<div class=""flex justify-end""><ReplyButton/></div>
COMPONENT HTML:
ReplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded""><i class=""fas fa-reply"" aria-hidden=""true""></i><!-- Button text for screen readers --><span class=""sr-only"">Reply</span></button>"
Product Feature Icon Size,"DESCRIPTION:
The UI should display a product feature icon with a size indicator, which is responsive, mobile-first, accessible, SEO-friendly, and well-documented.
COMPONENTS:
- FeatureIcon: A standalone component that displays a icon representing a product feature.
- IconSizeIndicator: A standalone component that displays the size of the icon.
HTML:
<div class=""flex items-center""><FeatureIcon/><IconSizeIndicator/></div>
COMPONENT HTML:
FeatureIcon:
<i class=""fas fa-{icon_type} text-2xl"" aria-label=""{icon_label}""></i>
IconSizeIndicator:
<span class=""text-sm"">{icon_size}px</span>"
Product Feature Icon Size,"DESCRIPTION:
The UI should display a product feature icon with a specific size. The icon should be responsive and accessible.
COMPONENTS:
- ProductFeatureIcon: A standalone component that displays an icon with a specific size.
HTML:
<div class=""flex justify-center mb-4""><ProductFeatureIcon/></div>
COMPONENT HTML:
ProductFeatureIcon:
<i class=""fas fa-{icon_type} text-{icon_color} text-{icon_size}""></i>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should be a responsive service section with a grid of services, each consisting of an icon, a brief description, and a title. The icons should be large and prominent, with the description and title below. The service section should be accessible, responsive, and SEO-friendly.
COMPONENTS:
- Service: A standalone component representing a single service, consisting of an icon, title, and description.
- ServiceIcon: A standalone component representing the icon of a service.
- ServiceInfo: A standalone component representing the title and description of a service.
HTML:
<div class=""container mx-auto p-4""><div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4""><Service/><Service/><Service/><!-- Add more Service components as needed --></div></div>
COMPONENT HTML:
Service:
<div class=""flex flex-col items-center""><ServiceIcon/><ServiceInfo/></div>
ServiceIcon:
<i class=""text-5xl {icon_class}"" aria-hidden=""true""></i>
ServiceInfo:
<div class=""text-center""><h3 class=""text-lg"">{title}</h3><p class=""text-gray-600"">{description}</p></div>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should be a responsive service section with a grid of services, each consisting of an icon, a brief description, and a title. The icons should be large and prominent, with the description and title below. The service section should be accessible, responsive, and SEO-friendly.
COMPONENTS:
- Service: A standalone component representing a single service, consisting of an icon, title, and description.
- ServiceIcon: A standalone component representing the icon of a service.
- ServiceInfo: A standalone component representing the title and description of a service.
HTML:
<div class=""container mx-auto p-4""><div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4""><Service/><Service/><Service/><!-- Add more Service components as needed --></div></div>
COMPONENT HTML:
Service:
<div class=""flex flex-col items-center""><ServiceIcon/><ServiceInfo/></div>
ServiceIcon:
<i class=""text-5xl {icon_class}"" aria-hidden=""true""></i>
ServiceInfo:
<div class=""text-center""><h3 class=""text-lg"">{title}</h3><p class=""text-gray-600"">{description}</p></div>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should be a responsive service section with a grid of services, each consisting of an icon, a brief description, and a title. The icons should be large and prominent, with the description and title below. The service section should be accessible, responsive, and SEO-friendly.
COMPONENTS:
- Service: A standalone component representing a single service, consisting of an icon, title, and description.
- ServiceIcon: A standalone component representing the icon of a service.
- ServiceInfo: A standalone component representing the title and description of a service.
HTML:
<div class=""container mx-auto p-4""><div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4""><Service/><Service/><Service/><!-- Add more Service components as needed --></div></div>
COMPONENT HTML:
Service:
<div class=""flex flex-col items-center""><ServiceIcon/><ServiceInfo/></div>
ServiceIcon:
<i class=""text-5xl {icon_class}"" aria-hidden=""true""></i>
ServiceInfo:
<div class=""text-center""><h3 class=""text-lg"">{title}</h3><p class=""text-gray-600"">{description}</p></div>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should be a responsive service section with a grid of services, each consisting of an icon, a brief description, and a title. The icons should be large and prominent, with the description and title below. The service section should be accessible, responsive, and SEO-friendly.
COMPONENTS:
- Service: A standalone component representing a single service, consisting of an icon, title, and description.
- ServiceIcon: A standalone component representing the icon of a service.
- ServiceInfo: A standalone component representing the title and description of a service.
HTML:
<div class=""container mx-auto p-4""><div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4""><Service/><Service/><Service/><!-- Add more Service components as needed --></div></div>
COMPONENT HTML:
Service:
<div class=""flex flex-col items-center""><ServiceIcon/><ServiceInfo/></div>
ServiceIcon:
<i class=""text-5xl {icon_class}"" aria-hidden=""true""></i>
ServiceInfo:
<div class=""text-center""><h3 class=""text-lg"">{title}</h3><p class=""text-gray-600"">{description}</p></div>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should be a responsive service section with a grid of services, each consisting of an icon, a brief description, and a title. The icons should be large and prominent, with the description and title below. The service section should be accessible, responsive, and SEO-friendly.
COMPONENTS:
- Service: A standalone component representing a single service, consisting of an icon, title, and description.
- ServiceIcon: A standalone component representing the icon of a service.
- ServiceInfo: A standalone component representing the title and description of a service.
HTML:
<div class=""container mx-auto p-4""><div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4""><Service/><Service/><Service/><!-- Add more Service components as needed --></div></div>
COMPONENT HTML:
Service:
<div class=""flex flex-col items-center""><ServiceIcon/><ServiceInfo/></div>
ServiceIcon:
<i class=""text-5xl {icon_class}"" aria-hidden=""true""></i>
ServiceInfo:
<div class=""text-center""><h3 class=""text-lg"">{title}</h3><p class=""text-gray-600"">{description}</p></div>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should be a responsive service section with a grid of services, each consisting of an icon, a brief description, and a title. The icons should be large and prominent, with the description and title below. The service section should be accessible, responsive, and SEO-friendly.
COMPONENTS:
- Service: A standalone component representing a single service, consisting of an icon, title, and description.
- ServiceIcon: A standalone component representing the icon of a service.
- ServiceInfo: A standalone component representing the title and description of a service.
HTML:
<div class=""container mx-auto p-4""><div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4""><Service/><Service/><Service/><!-- Add more Service components as needed --></div></div>
COMPONENT HTML:
Service:
<div class=""flex flex-col items-center""><ServiceIcon/><ServiceInfo/></div>
ServiceIcon:
<i class=""text-5xl {icon_class}"" aria-hidden=""true""></i>
ServiceInfo:
<div class=""text-center""><h3 class=""text-lg"">{title}</h3><p class=""text-gray-600"">{description}</p></div>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should be a responsive service section with a grid of services, each consisting of an icon, a brief description, and a title. The icons should be large and prominent, with the description and title below. The service section should be accessible, responsive, and SEO-friendly.
COMPONENTS:
- Service: A standalone component representing a single service, consisting of an icon, title, and description.
- ServiceIcon: A standalone component representing the icon of a service.
- ServiceInfo: A standalone component representing the title and description of a service.
HTML:
<div class=""container mx-auto p-4""><div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4""><Service/><Service/><Service/><!-- Add more Service components as needed --></div></div>
COMPONENT HTML:
Service:
<div class=""flex flex-col items-center""><ServiceIcon/><ServiceInfo/></div>
ServiceIcon:
<i class=""text-5xl {icon_class}"" aria-hidden=""true""></i>
ServiceInfo:
<div class=""text-center""><h3 class=""text-lg"">{title}</h3><p class=""text-gray-600"">{description}</p></div>"
Service section with icons and brief descriptions,"DESCRIPTION:
The UI should display a service section with three columns, each containing an icon, a brief description, and a title. The section should be responsive, mobile-first, accessible, SEO-friendly, and well-documented.
COMPONENTS:
- ServiceCard: standalone component that renders an icon, title, and description.
HTML:
<section class=""max-w-md mx-auto pt-12 pb-6""><h2 class=""text-3xl font-bold mb-4"">Our Services</h2><div class=""flex flex-wrap justify-center""><ServiceCard/><ServiceCard/><ServiceCard/></div></section>
COMPONENT HTML:
ServiceCard:
<div class=""w-full md:w-1/3 xl:w-1/3 p-6""><i class=""fas fa-{icon_name} text-3xl text-gray-600 mb-4""></i><h3 class=""text-lg font-bold mb-2"">{service_title}</h3><p class=""text-gray-600"">{service_description}</p></div>"
Tweet edit button for post revisions,"DESCRIPTION:
The UI should be a small, circular button with a pencil icon, indicating that it's an edit button for tweet revisions. It should be responsive, accessible, and SEO-friendly.
COMPONENTS:
- EditButton: A standalone component that displays an edit icon and allows users to edit a tweet revision.
HTML:
<div class=""flex justify-end mb-2""><EditButton/></div>
COMPONENT HTML:
EditButton:
<button class=""bg-white hover:bg-gray-100 text-gray-800 font-semibold py-2 px-4 border border-gray-400 rounded-full""><i class=""fas fa-pencil-alt text-sm"" aria-label=""Edit tweet revision""></i></button>"
Tweet edit button for post revisions,"DESCRIPTION:
The UI should be a small, circular button with a pencil icon, indicating that it's an edit button for tweet revisions. It should be responsive, accessible, and SEO-friendly.
COMPONENTS:
- EditButton: A standalone component that displays an edit icon and allows users to edit a tweet revision.
HTML:
<div class=""flex justify-end mb-2""><EditButton/></div>
COMPONENT HTML:
EditButton:
<button class=""bg-white hover:bg-gray-100 text-gray-800 font-semibold py-2 px-4 border border-gray-400 rounded-full""><i class=""fas fa-pencil-alt text-sm"" aria-label=""Edit tweet revision""></i></button>"
Tweet edit button for post revisions,"DESCRIPTION:
The UI should be a small, circular button with a pencil icon, indicating that it's an edit button for tweet revisions. It should be responsive, accessible, and SEO-friendly.
COMPONENTS:
- EditButton: A standalone component that displays an edit icon and allows users to edit a tweet revision.
HTML:
<div class=""flex justify-end mb-2""><EditButton/></div>
COMPONENT HTML:
EditButton:
<button class=""bg-white hover:bg-gray-100 text-gray-800 font-semibold py-2 px-4 border border-gray-400 rounded-full""><i class=""fas fa-pencil-alt text-sm"" aria-label=""Edit tweet revision""></i></button>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text that is centered and responsive to different screen sizes.
COMPONENTS:
- VideoBackground: A standalone component that displays a full-screen video.
- OverlayText: A component that takes children and displays text over the video background.
HTML:
<div class=""h-screen w-screen overflow-hidden""><VideoBackground/><div class=""absolute top-0 left-0 h-screen w-screen flex justify-center items-center""><OverlayText><!-- overlay text content will go here --></OverlayText></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay loop muted playsinline><source src={videoUrl} type=""video/mp4""/></video>
OverlayText:
<div class=""text-3xl font-bold text-white"">{children}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-bleed video background with an overlay of text. The video should be responsive and take up the full screen. The overlay text should be centered and have a contrasting background to ensure readability.
COMPONENTS:
- VideoBackground: Standalone component that renders a full-bleed video background.
- OverlayText: Standalone component that renders the overlay text.
HTML:
<div class=""flex h-screen w-full""><VideoBackground/><OverlayText/></div>
COMPONENT HTML:
VideoBackground:
<video class=""h-full w-full object-cover"" loop autoplay muted><source src=""{video_url}"" type=""video/mp4""/>Your browser does not support the video tag.</video>
OverlayText:
<div class=""absolute top-1/2 left-1/2 transform -translate-x-1/2 -translate-y-1/2 text-center py-4 px-8 bg-white bg-opacity-75 rounded""><h1 class=""text-3xl"">{heading}</h1><p class=""text-lg"">{subheading}</p></div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text that is centered and responsive to different screen sizes.
COMPONENTS:
- VideoBackground: A standalone component that displays a full-screen video.
- OverlayText: A component that takes children and displays text over the video background.
HTML:
<div class=""h-screen w-screen overflow-hidden""><VideoBackground/><div class=""absolute top-0 left-0 h-screen w-screen flex justify-center items-center""><OverlayText><!-- overlay text content will go here --></OverlayText></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay loop muted playsinline><source src={videoUrl} type=""video/mp4""/></video>
OverlayText:
<div class=""text-3xl font-bold text-white"">{children}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text that is centered and responsive to different screen sizes.
COMPONENTS:
- VideoBackground: A standalone component that displays a full-screen video.
- OverlayText: A component that takes children and displays text over the video background.
HTML:
<div class=""h-screen w-screen overflow-hidden""><VideoBackground/><div class=""absolute top-0 left-0 h-screen w-screen flex justify-center items-center""><OverlayText><!-- overlay text content will go here --></OverlayText></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay loop muted playsinline><source src={videoUrl} type=""video/mp4""/></video>
OverlayText:
<div class=""text-3xl font-bold text-white"">{children}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-bleed video background with an overlay of text. The video should be responsive and take up the full screen. The overlay text should be centered and have a contrasting background to ensure readability.
COMPONENTS:
- VideoBackground: Standalone component that renders a full-bleed video background.
- OverlayText: Standalone component that renders the overlay text.
HTML:
<div class=""flex h-screen w-full""><VideoBackground/><OverlayText/></div>
COMPONENT HTML:
VideoBackground:
<video class=""h-full w-full object-cover"" loop autoplay muted><source src=""{video_url}"" type=""video/mp4""/>Your browser does not support the video tag.</video>
OverlayText:
<div class=""absolute top-1/2 left-1/2 transform -translate-x-1/2 -translate-y-1/2 text-center py-4 px-8 bg-white bg-opacity-75 rounded""><h1 class=""text-3xl"">{heading}</h1><p class=""text-lg"">{subheading}</p></div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a video background with overlay text, where the video takes up the full height and width of the screen, and the overlay text is centered on top of the video with a subtle background to make it readable.
COMPONENTS:
- VideoBackground: standalone component that renders a full-screen video background
- OverlayText: standalone component that renders text with a subtle background on top of the video
HTML:
<div class=""h-screen w-screen relative""><VideoBackground/><OverlayText/></div>
COMPONENT HTML:
VideoBackground:
<div class=""absolute top-0 left-0 w-screen h-screen""><video autoplay loop muted><source src=""{video_source}"" type=""video/mp4""/></video></div>
OverlayText:
<div class=""absolute top-1/2 left-1/2 transform -translate-x-1/2 -translate-y-1/2 text-white text-4xl bg-gray-800 bg-opacity-50 py-4 px-8 rounded"">{overlay_text}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text that is centered and responsive to different screen sizes.
COMPONENTS:
- VideoBackground: A standalone component that displays a full-screen video.
- OverlayText: A component that takes children and displays text over the video background.
HTML:
<div class=""h-screen w-screen overflow-hidden""><VideoBackground/><div class=""absolute top-0 left-0 h-screen w-screen flex justify-center items-center""><OverlayText><!-- overlay text content will go here --></OverlayText></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay loop muted playsinline><source src={videoUrl} type=""video/mp4""/></video>
OverlayText:
<div class=""text-3xl font-bold text-white"">{children}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text that is centered and responsive to different screen sizes.
COMPONENTS:
- VideoBackground: A standalone component that displays a full-screen video.
- OverlayText: A component that takes children and displays text over the video background.
HTML:
<div class=""h-screen w-screen overflow-hidden""><VideoBackground/><div class=""absolute top-0 left-0 h-screen w-screen flex justify-center items-center""><OverlayText><!-- overlay text content will go here --></OverlayText></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay loop muted playsinline><source src={videoUrl} type=""video/mp4""/></video>
OverlayText:
<div class=""text-3xl font-bold text-white"">{children}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text that is centered and responsive to different screen sizes.
COMPONENTS:
- VideoBackground: A standalone component that displays a full-screen video.
- OverlayText: A component that takes children and displays text over the video background.
HTML:
<div class=""h-screen w-screen overflow-hidden""><VideoBackground/><div class=""absolute top-0 left-0 h-screen w-screen flex justify-center items-center""><OverlayText><!-- overlay text content will go here --></OverlayText></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay loop muted playsinline><source src={videoUrl} type=""video/mp4""/></video>
OverlayText:
<div class=""text-3xl font-bold text-white"">{children}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text that is centered and responsive to different screen sizes.
COMPONENTS:
- VideoBackground: A standalone component that displays a full-screen video.
- OverlayText: A component that takes children and displays text over the video background.
HTML:
<div class=""h-screen w-screen overflow-hidden""><VideoBackground/><div class=""absolute top-0 left-0 h-screen w-screen flex justify-center items-center""><OverlayText><!-- overlay text content will go here --></OverlayText></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay loop muted playsinline><source src={videoUrl} type=""video/mp4""/></video>
OverlayText:
<div class=""text-3xl font-bold text-white"">{children}</div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-bleed video background with an overlay of text. The video should be responsive and take up the full screen. The overlay text should be centered and have a contrasting background to ensure readability.
COMPONENTS:
- VideoBackground: Standalone component that renders a full-bleed video background.
- OverlayText: Standalone component that renders the overlay text.
HTML:
<div class=""flex h-screen w-full""><VideoBackground/><OverlayText/></div>
COMPONENT HTML:
VideoBackground:
<video class=""h-full w-full object-cover"" loop autoplay muted><source src=""{video_url}"" type=""video/mp4""/>Your browser does not support the video tag.</video>
OverlayText:
<div class=""absolute top-1/2 left-1/2 transform -translate-x-1/2 -translate-y-1/2 text-center py-4 px-8 bg-white bg-opacity-75 rounded""><h1 class=""text-3xl"">{heading}</h1><p class=""text-lg"">{subheading}</p></div>"
Video Background with Overlay Text,"DESCRIPTION:
The UI should be a full-screen video background with overlay text. The video background should be responsive and adapt to different screen sizes. The overlay text should be centered and easily readable.
COMPONENTS:
- VideoBackground: standalone component that renders a full-screen video background
- OverlayText: standalone component that renders the overlay text
HTML:
<div class=""h-screen w-full""><VideoBackground/><div class=""absolute inset-0 flex justify-center items-center""><OverlayText/></div></div>
COMPONENT HTML:
VideoBackground:
<video autoplay muted loop class=""h-full w-full object-cover""><source src=""{video_source}"" type=""video/mp4""></video>
OverlayText:
<h1 class=""text-3xl text-white"">{overlay_text}</h1>"
