input,output
Social Media Icons,"DESCRIPTION:
A horizontal row of social media icons, with each icon representing a different platform (e.g. Facebook, Twitter, Instagram, etc.). The icons should be evenly spaced and responsive to different screen sizes.
COMPONENTS:
- SocialMediaIcon: (standalone) - A single social media icon.
- SocialMediaIconList: (takes children) - A container for a list of social media icons.
HTML:
<nav aria-label=""Social media links""><SocialMediaIconList><SocialMediaIcon/><SocialMediaIcon/><SocialMediaIcon/><!-- Add more social media icons here --></SocialMediaIconList></nav>
COMPONENT HTML:
SocialMediaIcon:
<a href=""{social_media_url}"" target=""_blank"" rel=""noopener noreferrer"" aria-label=""{social_media_name}""><i class=""fab fa-{social_media_icon}"" aria-hidden=""true""></i></a>
SocialMediaIconList:
<ul class=""flex justify-center mb-4"">{children}</ul>"
360-degree image viewer,"DESCRIPTION:
The UI should be a responsive, mobile-first, and accessible image viewer that displays a 360-degree image. The viewer should have a circular navigation control at the bottom to rotate the image. The image should be center-aligned and take up most of the available space.
COMPONENTS:
- ImageStage: A standalone component that displays the 360-degree image.
- NavigationControl: A standalone component that displays the circular navigation control.
- ImageViewer: A component that takes children (the `ImageStage` and `NavigationControl` components) and provides a container for the image viewer.
HTML:
<div class=""flex h-screen justify-center""><ImageViewer><ImageStage/><NavigationControl/></ImageViewer></div>
COMPONENT HTML:
ImageStage:
<div class=""flex-1 overflow-hidden""><img src={image_url} alt=""360-degree image"" class=""object-contain w-full h-full""/></div>
NavigationControl:
<div class=""fixed bottom-0 left-1/2 -translate-x-1/2 mb-4 md:mb-8""><div class=""inline-flex rounded-full bg-gray-100 p-2""><button class=""rounded-full p-2""><span aria-hidden=""true"">&lt;</span></button><button class=""rounded-full p-2""><span aria-hidden=""true"">&gt;</span></button></div></div>
ImageViewer:
<div class=""flex flex-col h-full"">{children}</div>"
Search Input Clear Button,"DESCRIPTION:
A search input with a clear button that appears when the input is not empty. The clear button is a small ""x"" icon that clears the input when clicked. The input is responsive and accessible.
COMPONENTS:
- SearchInput: A text input that takes children (placeholder text and the clear button).
- ClearButton: A standalone button component that clears the search input when clicked.
HTML:
<div class=""flex items-center w-full md:w-1/2 lg:w-1/3 xl:w-1/4""><SearchInput><input type=""search"" id=""search"" class=""w-full pl-4 pr-10 py-2 text-lg""/><ClearButton/></SearchInput></div>
COMPONENT HTML:
SearchInput:
<div class=""flex items-center w-full"">{children}</div>
ClearButton:
<button type=""button"" class=""px-2 text-gray-500 hover:text-gray-800 transition duration-300"" aria-label=""Clear search input""><span aria-hidden=""true"">×</span></button>"
Horizontal strip displaying links to key sections of the website,"DESCRIPTION:
A horizontal strip with links to key sections of the website, responsive and mobile-friendly, with a clean and minimal design.
COMPONENTS:
- NavItem: (standalone) - a single link to a key section of the website
- NavStrip: (takes children) - the horizontal strip that contains the navigation items
HTML:
<header><nav class=""flex justify-between items-center py-4""><NavStrip><NavItem/><!-- link to home --><NavItem/><!-- link to about --><NavItem/><!-- link to contact --></NavStrip></nav></header>
COMPONENT HTML:
NavItem:
<a href={link_href} class=""px-4"">{link_text}</a>
NavStrip:
<div class=""flex flex-wrap justify-center"">{children}</div>"
Featured Video Controls Bar,"DESCRIPTION:
The Featured Video Controls Bar is a horizontal bar that sits below a video player, providing controls for playback, volume, and fullscreen mode. It should be compact, compactible, and easily accessible on various devices.
COMPONENTS:
- VideoPlaybackControl: A standalone component that toggles video playback.
- VideoVolumeControl: A standalone component that adjusts video volume.
- VideoFullscreenControl: A standalone component that toggles fullscreen mode.
- PlaybackTimeIndicator: A standalone component that displays the current playback time.
HTML:
<div class=""flex justify-between items-center py-2""><VideoPlaybackControl/><PlaybackTimeIndicator/><VideoVolumeControl/><VideoFullscreenControl/></div>
COMPONENT HTML:
VideoPlaybackControl:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded""><i class=""fa fa-play"" aria-hidden=""true""></i><span class=""sr-only"">Play/Pause</span></button>
VideoVolumeControl:
<div class=""flex items-center""><button class=""bg-gray-300 hover:bg-gray-400 text-gray-800 font-bold py-2 px-4 rounded""><i class=""fa fa-volume-up"" aria-hidden=""true""></i></button><input type=""range"" class=""w-20""/></div>
VideoFullscreenControl:
<button class=""bg-gray-300 hover:bg-gray-400 text-gray-800 font-bold py-2 px-4 rounded""><i class=""fa fa-arrows-alt"" aria-hidden=""true""></i><span class=""sr-only"">Toggle Fullscreen</span></button>
PlaybackTimeIndicator:
<p class=""text-sm"">{current_time}/ {total_time}</p>"
Company Phone Number,"DESCRIPTION:
A simple phone number display component with a clear label and a responsive design that adapts to different screen sizes.
COMPONENTS:
- PhoneNumberComponent: (standalone)
HTML:
<div class=""flex flex-wrap justify-center mb-4""><PhoneNumberComponent/></div>
COMPONENT HTML:
PhoneNumberComponent:
<p class=""text-lg font-medium"">Phone: <span class=""text-primary"">{phone_number}</span></p>"
Product Feature Icon,"DESCRIPTION:
A small icon with a brief description, indicating a key feature of a product.
COMPONENTS:
- FeatureIcon: A standalone component representing a single feature icon.
- FeatureDescription: A standalone component representing a brief description of a feature.
HTML:
<div class=""flex items-center mb-4""><FeatureIcon/><FeatureDescription/></div>
COMPONENT HTML:
FeatureIcon:
<i class=""fas fa-{icon_name} text-lg mr-2"" aria-hidden=""true""></i>
FeatureDescription:
<p class=""text-sm"">{feature_description}</p>"
Password Strength Meters,"DESCRIPTION:
The UI should display a password input field with a meter below it that indicates the strength of the password. The meter should have a color indicator (e.g., green for strong, yellow for medium, red for weak) and a text indicator (e.g., ""Strong"", ""Medium"", ""Weak"").
COMPONENTS:
- PasswordInput: standalone, a single-line text input field for entering a password
- PasswordStrengthMeter: takes children, displays the password strength meter with a color indicator and text indicator
- StrengthIndicator: standalone, a colored bar indicating the password strength
- StrengthText: standalone, a text indicator of the password strength (e.g., ""Strong"", ""Medium"", ""Weak"")
HTML:
<div class=""flex flex-col max-w-md mx-auto p-4""><PasswordInput/><PasswordStrengthMeter><StrengthIndicator/><StrengthText/></PasswordStrengthMeter></div>
COMPONENT HTML:
PasswordInput:
<input type=""password"" class=""w-full p-2 border border-gray-300 rounded""/>
PasswordStrengthMeter:
<div class=""flex items-center mb-2"">{children}</div>
StrengthIndicator:
<div class=""h-2 w-full {strength_color} rounded""></div><!-- strength_color is a dynamic class that changes based on password strength -->
StrengthText:
<p class=""text-sm"">{strength_text}</p><!-- strength_text is a dynamic text that changes based on password strength -->"
Carousel-like element for browsing through a series of images,"DESCRIPTION:
The UI should resemble a carousel, with a series of images displayed in a horizontal row. The user can navigate through the images using previous and next buttons or by clicking on dots that represent each image. The carousel should be responsive, with the images resizing to fit the container width. On smaller screens, the carousel should display a single image at a time, with navigation controls to swipe through the images.
COMPONENTS:
- ImageSlide: A standalone component that displays a single image.
- CarouselDots: A standalone component that displays a series of dots, one for each image in the carousel.
- CarouselNav: A standalone component that displays previous and next navigation buttons.
- CarouselContainer: A component that takes children (ImageSlide components) and displays them in a horizontal row.
HTML:
<div class=""max-w-md mx-auto p-4 sm:p-6 lg:p-8""><CarouselContainer><ImageSlide/><ImageSlide/><ImageSlide/><!-- Add more ImageSlide components here --></CarouselContainer><CarouselNav/><CarouselDots/></div>
COMPONENT HTML:
ImageSlide:
<div class=""w-full h-64 bg-cover bg-center"" style={{ backgroundImage: `url(${image_url})` }}></div>
CarouselDots:
<div class=""flex justify-center mb-4"">{num_images} dots, where each dot is a `<span class=""w-2 h-2 bg-gray-300 rounded-full mx-1"">`</div>
CarouselNav:
<div class=""flex justify-between mb-4""><button class=""text-gray-600 hover:text-gray-900"">Previous</button><button class=""text-gray-600 hover:text-gray-900"">Next</button></div>
CarouselContainer:
<div class=""flex overflow-x-hidden"">{children}</div>"
Certifications or licenses section with issuers,"DESCRIPTION:
The Certifications or Licenses section should display a list of certificates or licenses with their corresponding issuers, dates, and credential IDs. The section should be organized in a clean and readable manner, with each certification or license displayed in a separate row. The issuer, date, and credential ID should be displayed in a concise and easily readable format.
COMPONENTS:
- CertificationCard: (standalone): Displays a single certification or license with its issuer, date, and credential ID.
- CertificationList: (takes children): Container component for a list of certifications or licenses.
HTML:
<section class=""max-w-md mx-auto p-4""><h2 class=""text-xl font-bold mb-4"">Certifications and Licenses</h2><CertificationList><CertificationCard/><CertificationCard/><!-- Add more CertificationCard components here --></CertificationList></section>
COMPONENT HTML:
CertificationCard:
<div class=""flex justify-between mb-4""><div><h3 class=""text-lg font-bold"">{issuer_name}</h3><p>{credential_id}</p></div><div class=""text-gray-600""><p>{issue_date}</p></div></div>
CertificationList:
<ul class=""list-none"">{children}</ul>"
Loading Animations/Spinners,"DESCRIPTION:
The UI should display a loading animation/spinner that indicates to the user that the system is processing information. The animation should be responsive, mobile-first, and accessible.
COMPONENTS:
- LoadingSpinner: A standalone component that displays a loading animation.
HTML:
<div class=""flex justify-center""><LoadingSpinner/></div>
COMPONENT HTML:
LoadingSpinner:
<div class=""rounded-full border-2 border-gray-500 h-12 w-12 animate-spin""><div class=""rounded-full border-2 border-gray-500 h-10 w-10 mx-auto""></div></div>"
Call-to-Action (CTA) Button Section,"DESCRIPTION:
The UI should be a prominent call-to-action (CTA) button section that encourages users to take a specific action. The section should be full-width, with a bold background color, and a contrasting CTA button that stands out. The section should be responsive, with the button size and spacing adjusting based on screen size.
COMPONENTS:
- CTASection: - standalone component that contains the entire CTA section
- CTAButton: - standalone component that represents the call-to-action button
HTML:
<section class=""relative pt-12 pb-20 lg:pt-20 lg:pb-32""><div class=""container max-w-md mx-auto p-4 lg:p-8""><CTASection/></div></section>
COMPONENT HTML:
CTASection:
<div class=""bg-orange-500 text-white p-4 lg:p-8""><h2 class=""text-2xl lg:text-3xl"">{headline}</h2><p class=""text-lg lg:text-xl"">{description}</p><CTAButton/></div>
CTAButton:
<button class=""bg-white hover:bg-gray-200 text-orange-500 font-bold py-2 px-4 rounded"">{button_text}</button>"
Job application form,"DESCRIPTION:
The UI should be a simple, responsive job application form with fields for name, email, phone number, resume upload, and a message. It should be easily accessible and readable on various devices.
COMPONENTS:
- ApplicationHeader: (standalone): A header component displaying the title of the job application form.
- FormField: (takes children): A wrapper component for each form field, including labels and input fields.
- ResumeUpload: (standalone): A component for uploading a resume file.
- MessageField: (standalone): A textarea component for the applicant's message.
- SubmitButton: (standalone): A submit button component.
HTML:
<div class=""container mx-auto p-4 pt-6 md:p-6 lg:p-12""><ApplicationHeader/><form><FormField><label for=""name"">Name</label><input type=""text"" id=""name"" class=""w-full p-2""/></FormField><FormField><label for=""email"">Email</label><input type=""email"" id=""email"" class=""w-full p-2""/></FormField><FormField><label for=""phone"">Phone Number</label><input type=""tel"" id=""phone"" class=""w-full p-2""/></FormField><ResumeUpload/><FormField><label for=""message"">Message</label><MessageField/></FormField><SubmitButton/></form></div>
COMPONENT HTML:
ApplicationHeader:
<h2 class=""text-2xl font-bold mb-4"">Job Application Form</h2>
FormField:
<div class=""mb-4""><label for=""{inputId}"" class=""block mb-2"">{label}</label>{children}</div>
ResumeUpload:
<div class=""mb-4""><label for=""resume"" class=""block mb-2"">Resume</label><input type=""file"" id=""resume"" class=""w-full p-2""/></div>
MessageField:
<textarea id=""message"" class=""w-full p-2 h-40"" placeholder=""Write a message...""></textarea>
SubmitButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Apply Now</button>"
Footer Copyright Symbol,"DESCRIPTION:
The UI should be a simple footer with a copyright symbol and the year.
COMPONENTS:
- Footer: component (standalone)
HTML:
<footer class=""bg-gray-200 h-screen p-4""><Footer/></footer>
COMPONENT HTML:
Footer:
<p class=""text-sm text-gray-600"">{year} &copy; {site_name}</p>"
Testimonial Author Title,"DESCRIPTION:
The UI should display a testimonial author title, which typically appears below a quote or testimonial text. The title should be visually distinct from the quote text, with a smaller font size and a different font style. The title should also be responsive, adapting to different screen sizes.
COMPONENTS:
- TestimonialAuthorTitle: Standalone component that displays the author's title.
HTML:
<div class=""flex flex-col items-center mb-4""><!-- Quote or testimonial text --><blockquote class=""text-lg italic mb-2"">{testimonial_text}</blockquote><TestimonialAuthorTitle/></div>
COMPONENT HTML:
TestimonialAuthorTitle:
<p class=""text-sm font-bold"">{author_title}</p>"
Customizable Themes: Brand your interface,"DESCRIPTION:
A menu with a list of theme options, where each option displays a preview of the theme and allows the user to select it.
COMPONENTS:
- ThemeOption: (standalone): a single theme option with a preview and a checkbox to select it
- ThemeSelector: (takes children): a container for a list of theme options
HTML:
<div class=""w-full p-4 bg-gray-100 rounded""><h2 class=""text-lg font-bold mb-2"">Customizable Themes</h2><ThemeSelector><ThemeOption/><ThemeOption/><ThemeOption/><!-- more theme options here --></ThemeSelector></div>
COMPONENT HTML:
ThemeOption:
<div class=""flex items-center mb-2""><input type=""checkbox"" class=""mr-2""/><div class=""w-12 h-6 bg-{theme_color} mr-2""/><span class=""text-sm"">{theme_name}</span></div>
ThemeSelector:
<ul class=""list-none mb-0"">{children}</ul>"
Category Navigation,"DESCRIPTION:
The UI should be a responsive navigation menu that displays a list of categories. On mobile devices, the menu should be hidden by default and toggled by a button. On larger screens, the menu should be always visible and horizontally aligned.
COMPONENTS:
- CategoryNavMenu: a component that takes children, representing the entire navigation menu.
HTML:
<nav class=""flex justify-center md:flex-row flex-wrap md:flex-nowrap""><button class=""md:hidden"" id=""nav-toggle"">Toggle Navigation</button><CategoryNavMenu><!-- category items will be rendered here --></CategoryNavMenu></nav>
COMPONENT HTML:
CategoryNavMenu:
<ul class=""flex flex-wrap justify-center md:flex-row"">{children}</ul>"
Product Feature List Title,"DESCRIPTION:
The UI should be a title section that displays a heading for a list of product features. It should be responsive, accessible, and SEO-friendly.
COMPONENTS:
- FeatureTitle: a standalone component that displays a title for the product feature list.
HTML:
<header><FeatureTitle/></header>
COMPONENT HTML:
FeatureTitle:
<h2 class=""text-3xl font-bold mb-4"">{title_text}</h2>"
Session details display,"DESCRIPTION:
The UI should display the details of a session, including the session title, speaker, location, date, and time. The UI should be responsive, mobile-first, accessible, and SEO-friendly.
COMPONENTS:
- SessionTitle: A standalone component to display the session title.
- SessionMeta: A standalone component to display the session speaker, location, date, and time.
HTML:
<div class=""max-w-md mx-auto p-4 md:p-6 lg:p-12""><SessionTitle/><SessionMeta/></div>
COMPONENT HTML:
SessionTitle:
<h2 class=""text-lg font-bold"">{session_title}</h2>
SessionMeta:
<ul class=""list-none mb-4""><li class=""mb-2""><span class=""text-gray-600"">Speaker:</span>{speaker_name} </li><li class=""mb-2""><span class=""text-gray-600"">Location:</span>{location} </li><li class=""mb-2""><span class=""text-gray-600"">Date:</span>{date} </li><li class=""mb-2""><span class=""text-gray-600"">Time:</span>{time} </li></ul>"
Footer Newsletter Success,"DESCRIPTION:
The UI should be a success message for a newsletter subscription, displayed in the footer of a website. It should be responsive, mobile-friendly, and accessible.
COMPONENTS:
- FooterNewsletterSuccess: standalone component
HTML:
<footer><FooterNewsletterSuccess/></footer>
COMPONENT HTML:
FooterNewsletterSuccess:
<div class=""flex flex-wrap justify-center p-4 mb-4 bg-green-100 rounded""><h5 class=""text-xl text-green-600"">{success_message}</h5><p class=""text-sm text-gray-600"">{thank_you_message}</p><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{unsubscribe_text} </button></div>"
Send and save draft buttons,"DESCRIPTION:
The UI should have two buttons, ""Send"" and ""Save Draft"", side by side, with sufficient padding and margin to make them easily clickable. The buttons should be responsive, mobile-first, and accessible.
COMPONENTS:
- SendButton: a standalone button component.
- SaveDraftButton: a standalone button component.
- ButtonGroup: a component that takes two children.
HTML:
<div class=""flex flex-wrap justify-center mb-4""><ButtonGroup><SendButton/><SaveDraftButton/></ButtonGroup></div>
COMPONENT HTML:
SendButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Send</button>
SaveDraftButton:
<button class=""bg-gray-500 hover:bg-gray-700 text-white font-bold py-2 px-4 rounded"">Save Draft</button>
ButtonGroup:
<div class=""flex justify-center mb-4"">{children}</div>"
Game Information and Stats,"DESCRIPTION:
The UI should display game information and stats in a clean and visually appealing way, with a mobile-first design. It should include the game's title, description, and stats such as playtime, players online, and ratings.
COMPONENTS:
- GameInfo: standalone component to display game title and description
- StatCard: standalone component to display a single stat (e.g. playtime, players online, ratings)
- StatSection: takes children component to display multiple stats
HTML:
<section class=""max-w-md mx-auto p-4 md:p-6 lg:p-8""><GameInfo/><StatSection><StatCard/><StatCard/><StatCard/></StatSection></section>
COMPONENT HTML:
GameInfo:
<div class=""mb-4""><h2 class=""text-2xl font-bold"">{game_title}</h2><p class=""text-gray-600"">{game_description}</p></div>
StatCard:
<div class=""flex items-center mb-4""><span class=""text-3xl font-bold"">{stat_value}</span><p class=""text-gray-600"">{stat_label}</p></div>
StatSection:
<div class=""flex flex-wrap justify-center mb-4"">{children}</div>"
Navigation Menu Toggle Text,"DESCRIPTION:
The UI should be a responsive, mobile-first navigation menu toggle text that adapts to different screen sizes. On smaller screens, the toggle text should be displayed, and on larger screens, the navigation menu should be visible.
COMPONENTS:
- NavigationToggleText: (standalone): displays the toggle text for the navigation menu
- NavigationMenu: (takes children): displays the navigation menu items
HTML:
<div class=""flex justify-between items-center w-full lg:hidden""><NavigationToggleText/><NavigationMenu><!-- navigation menu items will be inserted here --></NavigationMenu></div>
COMPONENT HTML:
NavigationToggleText:
<a href=""#"" class=""text-lg font-bold hover:text-gray-700"">{menuToggleText}</a>
NavigationMenu:
<nav class=""lg:flex lg:flex-wrap lg:justify-center""><ul class=""lg:flex lg:flex-wrap"">{children} </ul></nav>"
Community Forum and Chat Tools,"DESCRIPTION:
The UI should be a responsive community forum and chat tools page that allows users to discuss topics, ask questions, and interact with each other through a chat system. The page should be divided into two main sections: a forum section that displays a list of discussion topics, and a chat section that allows users to send messages to each other.
COMPONENTS:
- ForumTopicList: A component that takes children (a list of **ForumTopicCard** components) and displays them in a scrollable list.
- ChatInput: A standalone component that allows users to input and send messages.
- ChatMessage: A standalone component that displays a single chat message, including the sender's username and message text.
- ChatMessageList: A component that takes children (a list of **ChatMessage** components) and displays them in a scrollable list.
HTML:
<div class=""container mx-auto p-4 md:p-6 lg:p-12""><h1 class=""text-3xl font-bold mb-4"">Community Forum</h1><div class=""flex flex-wrap -mx-4""><div class=""w-full md:w-2/3 xl:w-2/3 px-4 mb-4""><ForumTopicList/></div><div class=""w-full md:w-1/3 xl:w-1/3 px-4 mb-4""><h2 class=""text-2xl font-bold mb-4"">Chat</h2><ChatMessageList/><ChatInput/></div></div></div>
COMPONENT HTML:
ForumTopicList:
<div class=""overflow-y-auto max-h-screen"">{children}</div>
ChatInput:
<form class=""flex mb-4""><input type=""text"" class=""w-full p-2 pl-10 text-gray-700"" placeholder=""Type a message...""><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Send</button></form>
ChatMessage:
<div class=""mb-4 p-4 border border-gray-200 rounded""><p class=""text-gray-600"">{username}</p><p class=""text-gray-600"">{messageText}</p></div>
ChatMessageList:
<div class=""overflow-y-auto max-h-screen"">{children}</div>"
