input,output
"Horizontal separator component, a thin white line with a subtle shadow effect","description:
The Horizontal Separator component should be a thin, white line with a subtle shadow effect to add depth and dimension. It should scale well on different screen sizes and be accessible on mobile devices.
components:
- HorizontalSeparator: (Standalone): A thin, white line with a subtle shadow effect to separate content horizontally.
html:
<div class=""container mx-auto p-4""><!-- Content above the separator --><HorizontalSeparator/><!-- Content below the separator --></div>
component html:
HorizontalSeparator:
<hr class=""border-white shadow-sm""/>"
Post Editing and Formatting Tools,"description:
The UI should consist of a simple, clean layout featuring a section for post editing with a text area and a section below or beside it (depending on the screen size) for formatting tools like buttons for bold, italic, underline, and list creation. This should be mobile responsive, adjusting the layout based on the device size.
components:
- TextAreaEditor: (Standalone): A text input area where users can type in their posts.
- FormattingToolbar: (Standalone): A toolbar containing buttons for applying various text formats like bold, italic, underline, and list options.
html:
<div class=""container mx-auto px-4""><div class=""editor flex flex-col md:flex-row""><TextAreaEditor/><FormattingToolbar/></div></div>
component html:
TextAreaEditor:
<div class=""text-area-editor flex flex-col flex-grow p-4""><label for=""postContent"" class=""font-semibold mb-2"">Your Post</label><textarea id=""postContent"" class=""form-textarea mt-1 block w-full border rounded-lg shadow-sm"" rows=""10""></textarea></div>
FormattingToolbar:
<div class=""formatting-toolbar p-4""><div class=""flex space-x-2 justify-center md:justify-start""><button class=""bg-gray-200 hover:bg-gray-300 text-black font-bold py-2 px-4 rounded inline-flex items-center""><span>Bold</span></button><button class=""bg-gray-200 hover:bg-gray-300 text-black font-bold py-2 px-4 rounded inline-flex items-center""><span>Italic</span></button><button class=""bg-gray-200 hover:bg-gray-300 text-black font-bold py-2 px-4 rounded inline-flex items-center""><span>Underline</span></button><button class=""bg-gray-200 hover:bg-gray-300 text-black font-bold py-2 px-4 rounded inline-flex items-center""><span>List</span></button></div></div>"
A search bar with a magnifying glass icon and a white background,"description:
The search bar should be a rounded rectangle with a white background and a magnifying glass icon on the left side. The text input should take up most of the width, and the icon should be slightly smaller than the input field. On smaller screens, the search bar should be narrower and taller to accommodate the smaller screen size.
components:
- SearchBar: (Takes Children): The main search bar component that contains the magnifying glass icon and the text input.
- MagnifyingGlassIcon: (Standalone): The icon component that represents the magnifying glass.
html:
<div class=""flex justify-center mb-4""><SearchBar><MagnifyingGlassIcon/><input type=""text"" class=""w-full pl-10"" placeholder=""Search...""/></SearchBar></div>
component html:
SearchBar:
<div class=""bg-white shadow-md rounded-md p-2 flex items-center"">{children}</div>
MagnifyingGlassIcon:
<svg><!-- magnifying glass --></svg>"
"A component that displays a list of sports-related statistics (e.g. ""Most Points Scored in a Game"") with numbers and labels","description:
The UI should be a clean and simple list of statistics with bold, eye-catching numbers and brief labels. The layout should adapt to different screen sizes, with the statistics stacked vertically on smaller screens and arranged in a grid on larger screens. The color scheme should be a calming blue and white theme with highlights of bright, energetic orange to draw attention to the most impressive statistics.
components:
- StatisticList: (Takes Children): A wrapper component that contains multiple StatisticItems. It should have a subtle shadow and a subtle gradient to give it depth.
html:
<div class=""max-w-md mx-auto bg-white rounded-lg shadow-md""><StatisticList><!-- multiple StatisticItem components will be rendered here --></StatisticList></div>
component html:
StatisticList:
<div class=""p-4 bg-white rounded-lg shadow-md""><div class=""grid grid-cols-1 sm:grid-cols-3 gap-4"">{children} </div></div>"
Trending topics display for popular discussions,"description:
The UI should display a list of trending topics, each with a title, a brief description, and a call-to-action button.
components:
- TrendingTopicList: component that takes children, which will be a list of `TrendingTopicCard` components
html:
<div class=""container mx-auto p-4 pt-6 lg:p-6 lg:pt-12""><h2 class=""text-2xl font-bold mb-4"">Trending Topics</h2><TrendingTopicList><!-- list of TrendingTopicCard components will go here --></TrendingTopicList></div>
component html:
TrendingTopicList:
<ul class=""list-none mb-0"">{children}</ul>"
Author Bio: Information about article's author,"description:
The UI should display the author's name, profile picture, and a brief bio. It should be visually appealing and easy to read.
components:
- AuthorProfilePicture: A standalone component that displays the author's profile picture.
- AuthorBio: A standalone component that displays the author's bio.
- AuthorName: A standalone component that displays the author's name.
- AuthorBioContainer: A component that takes children, which wraps around the author's profile picture, name, and bio.
html:
<div class=""container mx-auto p-4 lg:p-6""><AuthorBioContainer><AuthorProfilePicture/><AuthorName/><AuthorBio/></AuthorBioContainer></div>
component html:
AuthorProfilePicture:
<img src={author_profile_picture_url} alt={author_name} class=""w-16 h-16 rounded-full object-cover""/>
AuthorBio:
<p class=""text-gray-600"">{author_bio}</p>
AuthorName:
<h2 class=""text-lg font-bold"">{author_name}</h2>
AuthorBioContainer:
<div class=""flex flex-col items-center lg:flex-row lg:items-start lg:justify-between"">{children}</div>"
"A course author component with a name, photo, and bio","description:
The UI should have a clean and modern design, with a focus on making the course author's information stand out. The component should be responsive, with the author's photo, name, and bio rearranging and resizing to fit different screen sizes. The background should be a light, neutral color, with subtle shadows and highlights to add depth. The author's name should be prominent, with a larger font size and a bold weight. The bio should be concise and easy to read.
components:
- AuthorComponent: (Takes Children): A container component that holds the author's information.
- AuthorPhoto: (Standalone): Displays the author's photo.
- AuthorName: (Standalone): Displays the author's name.
- AuthorBio: (Takes Children): Displays the author's bio.
html:
<div class=""max-w-md mx-auto p-4 pt-6 bg-white rounded-lg shadow-md""><AuthorComponent><AuthorPhoto/><AuthorName/><AuthorBio>{children}</AuthorBio></AuthorComponent></div>
component html:
AuthorComponent:
<div class=""flex flex-col md:flex-row md:items-center mb-4"">{children}</div>
AuthorPhoto:
<img src={photo_url} alt={author_name} class=""w-24 h-24 rounded-full md:w-32 md:h-32 md:m-4""/>
AuthorName:
<h2 class=""text-2xl font-bold mb-2"">{author_name}</h2>
AuthorBio:
<p class=""text-lg text-gray-600"">{children}</p>"
"Graphic symbol representing the brand or website, usually clickable","description:
The UI should display a logo that is clickable, responding to different screen sizes, and is accessible.
components:
- Logo: a standalone component representing the brand or website.
html:
<a href=""/"" aria-label=""Home""><Logo/></a>
component html:
Logo:
<img src={logo_src} alt={logo_alt} class=""w-8 h-8 md:w-12 md:h-12 lg:w-16 lg:h-16""/><!-- logo_src: the URL of the logo image, logo_alt: the alt text of the logo -->"
Product Rating Distribution,"description:
The UI should display a product rating distribution chart, which shows the number of ratings for each rating value (e.g., 1-5 stars). The chart should be responsive, mobile-first, accessible, and SEO-friendly.
components:
- RatingDistributionChart: Standalone component that displays the rating distribution chart.
- RatingBar: Standalone component that represents a single rating bar in the chart.
html:
<div class=""max-w-md mx-auto p-4""><h2 class=""text-lg font-bold mb-4"">Rating Distribution</h2><RatingDistributionChart/></div>
component html:
RatingDistributionChart:
<div class=""flex flex-wrap justify-center mb-4"">{ratingBars}</div>
RatingBar:
<div class=""w-full md:w-1/2 xl:w-1/3 p-2""><div class=""bg-gray-200 h-4 rounded-full""><div class=""bg-yellow-500 h-4 rounded-full"" style=""`width: {percentage}%;""}></div></div><p class=""text-sm"">{ratingValue} stars ({count} ratings)</p></div>"
"Small image or icon representing the user, often used for profile pictures","description:
- The UI should feature a circular profile picture, typically used to represent a user. This image should be responsive and adapt to different screen sizes while maintaining its aspect ratio.
components:
- UserProfileImage: A standalone component that displays a circular user profile image.
html:
<UserProfileImage/>
component html:
UserProfileImage:
<!-- Circular User Profile Image --><img src=""{user_profile_url}"" alt=""User profile"" class=""w-16 h-16 md:w-24 md:h-24 lg:w-32 lg:h-32 rounded-full object-cover"">"
Playlist generator tool,"description:
The UI should be a simple, responsive, and accessible web page that allows users to generate a playlist based on their preferences. The page should have a header with a title and a brief description, a form to collect user preferences, a button to generate the playlist, and a section to display the generated playlist.
components:
- HeaderComponent: A standalone component that displays the title and description of the playlist generator tool.
- FormComponent: A standalone component that contains a form to collect user preferences, including input fields for genre, mood, and number of tracks.
- GenerateButtonComponent: A standalone component that displays a button to generate the playlist.
- PlaylistComponent: A component that takes children to display the generated playlist, including a list of tracks with artist, song title, and duration.
html:
<div class=""max-w-md mx-auto p-4""><HeaderComponent/><FormComponent/><GenerateButtonComponent/><PlaylistComponent><!-- playlist content will be rendered here --></PlaylistComponent></div>
component html:
HeaderComponent:
<header class=""mb-4""><h1 class=""text-2xl"">Playlist Generator</h1><p class=""text-lg"">Generate a playlist based on your preferences!</p></header>
FormComponent:
<form class=""flex flex-wrap mb-4""><label for=""genre"" class=""w-full md:w-1/2 mb-2"">Genre:</label><select id=""genre"" class=""w-full md:w-1/2 p-2 mb-2""><option value="""">Select a genre</option>{genre_options} </select><label for=""mood"" class=""w-full md:w-1/2 mb-2"">Mood:</label><select id=""mood"" class=""w-full md:w-1/2 p-2 mb-2""><option value="""">Select a mood</option>{mood_options} </select><label for=""num-tracks"" class=""w-full md:w-1/2 mb-2"">Number of tracks:</label><input type=""number"" id=""num-tracks"" class=""w-full md:w-1/2 p-2 mb-2"" value=""10""/></form>
GenerateButtonComponent:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Generate Playlist</button>
PlaylistComponent:
<div class=""flex flex-wrap"">{children}</div>"
Highlighted box drawing attention to important information or announcements,"description:
The UI should feature a highlighted box that stands out visually from the rest of the content, meant to draw attention to important information or announcements. This box should include a title and the body text. The design should be noticeable but not overwhelming and should be easily distinguishable due to its background color, padding, and possibly a border.
components:
- HighlightedBox: (Standalone)**: This component will contain the major elements of the highlighted information box, including a title and body text.
html:
<div class=""container mx-auto p-4""><HighlightedBox/></div>
component html:
HighlightedBox:
<div role=""alert"" class=""bg-yellow-100 border-l-4 border-yellow-500 text-yellow-700 p-4""><h2 class=""font-bold"">Important Announcement</h2><p>{announcement_body}</p></div>"
Personal information form,"description:
The UI should be a simple form with labels and input fields for personal information such as name, email, phone number, and address. The form should be responsive and mobile-friendly.
components:
- FormHeader: A standalone component that displays the title of the form.
- FormField: A component that takes a label and an input field as children.
- InputField: A standalone component that renders a simple text input field.
- AddressField: A standalone component that renders a grouped input field for address information.
- SubmitButton: A standalone component that renders a submit button.
html:
<form class=""max-w-md mx-auto p-4 bg-white shadow-md rounded""><FormHeader/><div class=""flex flex-wrap -mx-3 mb-6""><FormField><label class=""block uppercase tracking-wide text-xs text-gray-700"">Name</label><InputField/></FormField><FormField><label class=""block uppercase tracking-wide text-xs text-gray-700"">Email</label><InputField/></FormField><FormField><label class=""block uppercase tracking-wide text-xs text-gray-700"">Phone</label><InputField/></FormField></div><AddressField/><SubmitButton/></form>
component html:
FormHeader:
<h2 class=""text-lg font-bold"">{form_title}</h2>
FormField:
<div class=""w-full md:w-1/2 px-3 mb-6""><label class=""block uppercase tracking-wide text-xs text-gray-700"">{label}</label>{children}</div>
InputField:
<input class=""appearance-none block w-full bg-gray-200 text-gray-700 border border-gray-200 rounded py-3 px-4 leading-tight focus:outline-none focus:bg-white"" type=""text""/>
AddressField:
<div class=""flex flex-wrap -mx-3 mb-6""><FormField><label class=""block uppercase tracking-wide text-xs text-gray-700"">Street</label><InputField/></FormField><FormField><label class=""block uppercase tracking-wide text-xs text-gray-700"">City</label><InputField/></FormField><FormField><label class=""block uppercase tracking-wide text-xs text-gray-700"">State</label><InputField/></FormField><FormField><label class=""block uppercase tracking-wide text-xs text-gray-700"">Zip</label><InputField/></FormField></div>
SubmitButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Submit</button>"
"Navigation system where content is organized into tabs, allowing users to switch between sections","description:
A navigation system with tabs that allow users to switch between sections. The tabs should be horizontal and responsive, with a clear active state and a visible separator between tabs.
components:
- TabList: Standalone component to render the list of tabs.
- TabContent: Component that takes children to render the content of the active tab.
html:
<div class=""flex flex-col w-full max-w-md mx-auto""><TabList/><div class=""p-4""><TabContent/></div></div>
component html:
TabList:
<ul class=""flex flex-wrap justify-center mb-4"">{/* Insert TabControl components here */ }</ul>
TabContent:
<div class=""prose"">{children}</div>"
Footer Newsletter Form,"description:
A simple footer newsletter form with a label, input field, and submit button, all aligned horizontally and responsive.
components:
- FooterNewsletterForm: Standalone component that contains the newsletter form.
- FormLabel: Standalone component that displays the label text.
- FormInput: Standalone component that renders an input field.
- FormSubmitButton: Standalone component that renders a submit button.
html:
<footer class=""bg-gray-200 h-screen pt-4 pb-10""><div class=""max-w-md mx-auto p-4""><FooterNewsletterForm/></div></footer>
component html:
FooterNewsletterForm:
<div class=""flex flex-wrap justify-center mb-4""><FormLabel/><FormInput/><FormSubmitButton/></div>
FormLabel:
<label class=""text-sm font-bold mb-2"" for=""newsletter-email"">Stay updated with our newsletter</label>
FormInput:
<input type=""email"" id=""newsletter-email"" class=""w-full pl-2 py-2 text-sm text-gray-700"" placeholder=""your@email.com""/>
FormSubmitButton:
<button type=""submit"" class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Subscribe</button>"
Video/Audio Players,"description:
The UI should have a large video or audio player in the center, with playback controls (play/pause, seek, volume) below it. There should also be a title and optional description above the player.
components:
- MediaPlayer: standalone, displays the video or audio content
- MediaControls: standalone, displays the playback controls (play/pause, seek, volume)
- MediaTitle: standalone, displays the title of the media
- MediaDescription: standalone, displays a optional description of the media
html:
<div class=""flex flex-col h-screen p-4""><div class=""flex justify-center mb-4""><MediaTitle/><!-- displays the title of the media --><MediaDescription/><!-- displays a optional description of the media --></div><MediaPlayer/><!-- displays the video or audio content --><MediaControls/><!-- displays the playback controls (play/pause, seek, volume) --></div>
component html:
MediaPlayer:
<div class=""w-full h-96 bg-gray-200 rounded-lg""><!-- video or audio content will be rendered here --></div>
MediaControls:
<div class=""flex justify-center mb-4""><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{play_or_pause_text} </button><div class=""mx-4""><input type=""range"" class=""w-full""/></div><button class=""bg-gray-200 hover:bg-gray-400 text-gray-800 font-bold py-2 px-4 rounded"">Volume: {volume_level}% </button></div>
MediaTitle:
<h2 class=""text-2xl font-bold mb-2"">{media_title}</h2>
MediaDescription:
<p class=""text-gray-600"">{media_description}</p>"
Award or achievement section with icons and dates,"description:
The UI should have a section that showcases awards or achievements, with icons and dates.
components:
- AwardItem: A standalone component that represents a single award or achievement.
- AchievementSection: A component that takes children and wraps the award items.
html:
<section class=""container mx-auto p-4 pt-6 md:p-6 lg:p-12""><h2 class=""text-2xl mb-4"">Awards and Achievements</h2><AchievementSection><AwardItem/><AwardItem/><AwardItem/></AchievementSection></section>
component html:
AwardItem:
<div class=""flex items-center mb-4""><span class=""mr-4"">{icon}</span><div><h3 class=""text-lg"">{award_name}</h3><p class=""text-sm text-gray-600"">{award_date}</p></div></div>
AchievementSection:
<div class=""flex flex-wrap -mx-4"">{children}</div>"
Make a component that displays a product's pricing information with a discounted price and original price,"description:
The UI should display the product's pricing information in a clear and concise manner, with the discounted price and original price prominently displayed. The discounted price should be highlighted to draw the user's attention. The UI should scale well on different screen sizes, with the prices adjusting their font size and spacing accordingly.
components:
- ProductPricing: (Takes Children): Displays the product's pricing information, including the discounted price and original price.
html:
<!-- Product pricing information --><div class=""bg-gray-100 p-4 rounded-lg shadow-md""><ProductPricing><!-- Pricing information will be rendered here --></ProductPricing></div>
component html:
ProductPricing:
<!-- Pricing information container --><div class=""flex flex-col items-center""><p class=""text-lg font-bold"">{discounted_price}</p><p class=""text-gray-500 line-through"">{original_price}</p><p class=""text-sm text-gray-500"">{discount_percent}% off</p>{children}</div>"
"Simple, rounded article thumbnail images","description:
The UI should feature a rounded thumbnail image with a subtle shadow to give it a slightly elevated look. The image should be responsive and scale down on smaller screens. The border-radius should be consistent across all screen sizes to maintain a visually appealing design.
components:
- RoundedThumbnail: (Takes Children): A rounded thumbnail image with a subtle shadow.
html:
<div class=""max-w-md mx-auto sm:max-w-lg md:max-w-2xl lg:max-w-4xl xl:max-w-full""><RoundedThumbnail><!-- image content --></RoundedThumbnail></div>
component html:
RoundedThumbnail:
<div class=""w-full rounded-lg overflow-hidden shadow-md""><img class=""w-full h-48 object-cover rounded-lg"" src={image_url} alt={image_alt}/>{children}</div>"
Testimonial Author Name,"description:
The UI should display a testimonial author's name in a readable font size, with a slight emphasis on the text to distinguish it from the testimonial content.
components:
- TestimonialAuthorName: (standalone)
html:
<div class=""flex flex-wrap mb-4""><p class=""text-lg text-gray-600""><TestimonialAuthorName/></p></div>
component html:
TestimonialAuthorName:
<span class=""font-bold"">{authorName}</span>"
A responsive image component with a subtle box shadow,"description:
The UI should feature a responsive image component that scales well on different screen sizes. The image should have a subtle box shadow to add depth and dimension. The component should be easily accessible and responsive on mobile devices.
components:
- ResponsiveImage: (Takes Children): This component takes an image source as a child element and applies a subtle box shadow. It should scale responsively on different screen sizes.
html:
<div class=""max-w-md mx-auto""><ResponsiveImage><img src=""{image_src}"" alt=""{image_alt}""/></ResponsiveImage></div>
component html:
ResponsiveImage:
<div class=""shadow-md rounded overflow-hidden"">{children}</div>"
Simple round avatar icon with a white border,"description:
The UI should feature a simple round avatar icon with a white border, which will stand out against different backgrounds. The avatar icon will be responsive, meaning its size will adjust according to the screen size.
components:
- AvatarIcon: (Standalone): A simple round avatar icon with a white border. On small screens (`sm`), the avatar will be 36px in diameter. On medium screens (`md`), it will be 48px in diameter. On large screens (`lg`), it will be 60px in diameter.
html:
<div class=""flex justify-center""><AvatarIcon/></div>
component html:
AvatarIcon:
<div class=""rounded-full bg-cover bg-center w-12 h-12 sm:w-10 sm:h-10 md:w-12 md:h-12 lg:w-16 lg:h-16 border-2 border-white""><img src=""{avatar_url}"" alt=""Avatar"" class=""w-full h-full rounded-full""/></div>"
Apply button with a blue background and white text,"description:
The apply button should have a blue background with white text, making it stand out and grabbing the user's attention. The button should be responsive, with a larger size on larger screens and a smaller size on smaller screens.
components:
- ApplyButton: (Standalone)
html:
<!-- Top-level HTML --><div class=""flex justify-center mb-4""><ApplyButton/></div>
component html:
ApplyButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded"">Apply</button>"
Unordered list,"description:
A simple unordered list with bullet points, suitable for displaying a collection of items.
components:
- ListItem: (standalone) - a single item in the list
- UnorderedList: (takes children) - the container for the list items
html:
}<UnorderedList><ListItem/><ListItem/><!-- more list items --></UnorderedList>
component html:
ListItem:
<li class=""mb-2"">{list_item_text}</li>
UnorderedList:
<ul class=""list-unstyled mb-0"">{children}</ul>"
Social Sharing Count,"description:
The Social Sharing Count UI should display the number of shares on various social media platforms, such as Facebook, Twitter, and LinkedIn. The UI should be responsive, mobile-first, and accessible. It should also be easily readable and understandable.
components:
- SocialShareCount: A standalone component that displays the total share count across all social media platforms.
- SocialMediaShareCount: A component that displays the share count for a specific social media platform. It takes children, which is the platform's icon and name.
- SocialMediaIcon: A standalone component that displays an icon for a specific social media platform.
html:
<div class=""flex flex-wrap justify-center mb-4""><SocialShareCount/><div class=""flex flex-wrap justify-center""><SocialMediaShareCount><SocialMediaIcon/>Facebook</SocialMediaShareCount><SocialMediaShareCount><SocialMediaIcon/>Twitter</SocialMediaShareCount><SocialMediaShareCount><SocialMediaIcon/>LinkedIn</SocialMediaShareCount></div></div>
component html:
SocialShareCount:
<p class=""text-lg font-bold"">{total_share_count} shares</p>
SocialMediaShareCount:
<div class=""flex items-center mr-4"">{children} <p class=""ml-2"">{share_count} shares</p></div>
SocialMediaIcon:
<!-- Use a class to style the icon, e.g. Facebook icon --><i class=""fab fa-facebook-f text-lg""></i>"
Responsive Article Layout,"description:
The UI should display a responsive article layout with a header, image, and content sections. The layout should be mobile-first, accessible, and SEO-friendly.
components:
- ArticleHeader: Standalone component that displays the article title and metadata.
- ArticleImage: Standalone component that displays the article image.
- ArticleContent: Component that takes children, which represents the article content.
html:
<div class=""max-w-md mx-auto p-4 md:p-6 lg:p-12""><ArticleHeader/><ArticleImage/><ArticleContent><!-- Article content goes here --></ArticleContent></div>
component html:
ArticleHeader:
<header class=""mb-4 md:mb-6 lg:mb-12""><h1 class=""text-2xl md:text-3xl lg:text-4xl"">{article_title}</h1><p class=""text-sm md:text-base lg:text-lg"">{author_name} - {published_date}</p></header>
ArticleImage:
<img src=""{image_url}"" alt=""{image_alt}"" class=""w-full mb-4 md:mb-6 lg:mb-12""/>
ArticleContent:
<div class=""prose lg:prose-lg"">{children}</div>"
